,x,y,z,roll,pitch,yaw
0,0,0,0,0,0,0
1,0.0996978282928467,0,0,0,0,0
2,0.167140007019043,0,0,0,0,0
3,0.300209522247314,0,0,0,0,0
4,0.367127895355225,0,0,0,0,0
5,0.50021243095398,0,0,0,0,0
6,0.567010402679443,0,0,0,0,0
7,0.699379444122314,0,0,0,0,0
8,0.759087324142456,0,0,0,0,0
9,0.895148754119873,0,0,0,0,0
10,0.966975450515747,0,0,0,0,0
11,1.09109973907471,0,0,0,0,0
12,1.20071053504944,0,0,0,0,0
13,1.29970479011536,0,0,0,0,0
14,1.36323475837708,0,0,0,0,0
15,1.48709392547607,0,0,0,0,0
16,1.60020041465759,0,0,0,0,0
17,1.66318845748901,0,0,0,0,0
18,1.80064129829407,0,0,0,0,0
19,1.87492036819458,0,0,0,0,0
20,2.00055432319641,4.66505724716626E-07,0,0,0,0
21,2.09111618995666,1.83182100954582E-06,0,0,0,0
22,2.20003867149353,7.62483750804677E-06,0,0,0,0
23,2.29954862594604,1.59472001541872E-05,0,0,0,0
24,2.37502360343933,3.12591473630164E-05,0,0,0,0
25,2.50012803077698,6.93533729645424E-05,0,0,0,0
26,2.57124710083008,0.000108493542938959,0,0,0,0
27,2.69930505752563,0.000194156935322098,0,0,0,0
28,2.76713395118713,0.000254057231359184,0,0,0,0
29,2.90001559257507,0.000443020166130737,0,0,0,0
30,2.97102189064026,0.000549526244867593,0,0,0,0
31,3.09945726394653,0.000868933624587953,0,0,0,0
32,3.16710710525513,0.00104148813989013,0,0,0,0
33,3.30030536651611,0.00154064653906971,0,0,0,0
34,3.3791937828064,0.00188920891378075,0,0,0,0
35,3.5002429485321,0.00252014002762735,0,0,0,0
36,3.57523226737976,0.00302210985682905,0,0,0,0
37,3.70362067222595,0.00391186261549592,0,0,0,0
38,3.76297664642334,0.00443294458091259,0,0,0,0
39,3.89927077293396,0.00584580795839429,0,0,0,0
40,3.96311712265015,0.00654439488425851,0,0,0,0
41,4.1001238822937,0.00841274857521057,0,0,0,0
42,4.16718697547913,0.00932508520781994,0,0,0,0
43,4.29511308670044,0.0117373801767826,0,0,0,0
44,4.3670129776001,0.0129030346870422,0,0,0,0
45,4.48708844184876,0.0159061253070831,0,0,0,0
46,4.60074520111084,0.0187029764056206,0,0,0,0
47,4.68319034576416,0.0202032309025526,0,0,0,0
48,4.8004994392395,0.0239201076328754,0,0,0,0
49,4.89115571975708,0.0261560343205929,0,0,0,0
50,5.0009331703186,0.030245603993535,0,0,0,0
51,5.09508585929871,0.0320822037756443,0,0,0,0
52,5.20009851455689,0.0359404943883419,0,0,0,0
53,5.29514503479004,0.0386481247842312,0,0,0,0
54,5.40037250518799,0.0429316349327564,0,0,0,0
55,5.48719501495361,0.0451942905783653,0,0,0,0
56,5.60054302215576,0.0507798865437508,0,0,0,0
57,5.68712401390076,0.0541608110070229,0,0,0,0
58,5.80077171325684,0.0595381483435631,0,0,0,0
59,5.89111185073853,0.0633423700928688,0,0,0,0
60,6.00039005279541,0.0694015696644783,0,0,0,0
61,6.08294606208801,0.0726199299097061,0,0,0,0
62,6.20023322105408,0.0805996060371399,0,0,0,0
63,6.29515218734741,0.0854456424713135,0,0,0,0
64,6.40027475357056,0.0931711196899414,0,0,0,0
65,6.49513411521912,0.0986443758010864,0,0,0,0
66,6.60344815254211,0.107367366552353,0,0,0,0
67,6.67114543914795,0.112000167369843,0,0,0,0
68,6.802818775177,0.12183877825737,0,0,0,0
69,6.86317157745361,0.127060130238533,0,0,0,0
70,6.99938440322876,0.139985367655754,0,0,0,0
71,7.07114624977112,0.147817060351372,0,0,0,0
72,7.19995331764221,0.160266816616058,0,0,0,0
73,7.27093696594238,0.169057726860046,0,0,0,0
74,7.40059161186218,0.183015674352646,0,0,0,0
75,7.46721959114075,0.190386563539505,0,0,0,0
76,7.59112477302551,0.20849883556366,0,0,0,0
77,7.69514060020447,0.222088024020195,0,0,0,0
78,7.80098366737366,0.242024436593056,0,0,0,0
79,7.89965510368347,0.250958830118179,0,0,0,0
80,7.97508215904236,0.26339116692543,0,0,0,0
81,8.10013937950134,0.282818406820297,0,0,0,0
82,8.16310882568359,0.29292094707489,0,0,0,0
83,8.30308794975281,0.317399978637695,0,0,0,0
84,8.36323118209839,0.3282790184021,0,0,0,0
85,8.49502468109131,0.354567795991898,0,0,0,0
86,8.55505156517029,0.366221457719803,0,0,0,0
87,8.67507529258728,0.390302151441574,0,0,0,0
88,8.80041408538818,0.4151551425457,0,0,0,0
89,8.87915897369385,0.432238072156906,0,0,0,0
90,9.00013518333435,0.463032126426697,0,0,0,0
91,9.083092212677,0.47661429643631,0,0,0,0
92,9.19998741149902,0.509202659130096,0,0,0,0
93,9.29501271247864,0.528336226940155,0,0,0,0
94,9.40907621383667,0.562714099884033,0,0,0,0
95,9.40912175178528,0.562714099884033,0,0,0,0
96,9.58319544792175,0.598876893520355,0,0,0,0
97,9.69514679908752,0.630637109279633,0,0,0,0
98,9.80086636543274,0.668580234050751,0,0,0,0
99,9.90055298805237,0.690769612789154,0,0,0,0
100,9.98321175575256,0.707791805267334,0,0,0,0
101,10.1010594367981,0.748396039009094,0,0,0,0
102,10.1992342472076,0.772103905677795,0,0,0,0
103,10.2755129337311,0.796316504478455,0,0,0,0
104,10.4021213054657,0.839570581912994,0,0,0,0
105,10.4951212406158,0.864790499210358,0,0,0,0
106,10.6591379642487,0.916235506534576,0,0,0,0
107,10.6600015163422,0.916235506534576,0,0,0,0
108,10.8012173175812,0.969686567783356,0,0,0,0
