,time,n_p,rudder
0,0,0,0
1,0.0999760627746582,0,0
2,0.199977874755859,0,0
3,0.30028772354126,0,0
4,0.400062561035156,0,0
5,0.50002932548523,0,0
6,0.600080251693726,0,0
7,0.700075149536133,0,0
8,0.799944400787354,0,0
9,0.900322914123535,0,0
10,0.999977588653564,0,0
11,1.10001468658447,0,0
12,1.20004749298096,0,0
13,1.30008769035339,0,0
14,1.4000563621521,0,0
15,1.5000491142273,0,0
16,1.60004353523254,0,0
17,1.69999146461487,0.485339865088463,0
18,1.8000020980835,0.985339865088463,0
19,1.90043997764587,1.48533986508846,0
20,1.99999094009399,1.98533986508846,0
21,2.09993743896484,2.48533986508846,0
22,2.20011925697327,2.98533986508846,0
23,2.30005669593811,3.48533986508846,0
24,2.39994335174561,3.98533986508846,0
25,2.50031733512878,4.48533986508846,0
26,2.60000491142273,4.98533986508846,0
27,2.70010542869568,5.48533986508846,0
28,2.80002379417419,5.98533986508846,0
29,2.90057468414307,6.48533986508846,0
30,3.00002574920654,6.98533986508846,0
31,3.10031580924988,7.48533986508846,0
32,3.20025706291199,7.98533986508846,0
33,3.30006861686707,8.48533986508846,0
34,3.40016078948975,8.98533986508846,0
35,3.4999737739563,9.48533986508846,0
36,3.60001945495605,9.98533986508846,0
37,3.70005750656128,10.4853398650885,0
38,3.80001068115234,10.9853398650885,0
39,3.90000200271606,11.4853398650885,0
40,3.99991130828857,11.9853398650885,0
41,4.10010981559753,12.4853398650885,0
42,4.20001173019409,11.9853398650885,0
43,4.29993295669556,11.4853398650885,0
44,4.39998960494995,10.9853398650885,0
45,4.50026798248291,10.4853398650885,0
46,4.60014867782593,9.98533986508846,0
47,4.70003652572632,9.48533986508846,0
48,4.79999232292175,9.98533986508846,0
49,4.90015411376953,10.4853398650885,0
50,5.00009775161743,10.9853398650885,0
51,5.10042023658752,11.4853398650885,0
52,5.20009851455689,11.9853398650885,0
53,5.30021739006043,12.4853398650885,0
54,5.39999437332153,12.9853398650885,0
55,5.50003242492676,13.4853398650885,0
56,5.60002279281616,13.9853398650885,0
57,5.70006084442139,14.4853398650885,0
58,5.8000373840332,14.9853398650885,0
59,5.89989614486694,15.4853398650885,0
60,6.00021362304688,15.9853398650885,0
61,6.10011434555054,16.4853398650885,0
62,6.19998788833618,16.9853398650885,0
63,6.30040216445923,17.4853398650885,0
64,6.40010666847229,17.9853398650885,0
65,6.50006818771362,18.4853398650885,0
66,6.60028457641602,18.9853398650885,0
67,6.70015811920166,19.4853398650885,0
68,6.80015516281128,19.9853398650885,0
69,6.90007567405701,20.4853398650885,0
70,7.00010347366333,20.9853398650885,0
71,7.1000964641571,21.4853398650885,0
72,7.20001935958862,21.6642086969805,0
73,7.30008006095886,21.6642086969805,0
74,7.400141954422,21.6642086969805,0
75,7.50024676322937,21.6642086969805,0
76,7.60007643699646,21.6642086969805,0
77,7.70002818107605,21.6642086969805,0
78,7.80005168914795,21.6642086969805,0
79,7.9002149105072,21.6642086969805,0
80,8.00008177757263,21.6642086969805,0
81,8.10017442703247,21.6642086969805,0
82,8.20023322105408,21.6642086969805,0
83,8.30000710487366,21.6642086969805,0
84,8.40000438690186,21.6642086969805,0
85,8.50009179115295,21.6642086969805,0
86,8.60006499290466,21.6642086969805,0
87,8.6999979019165,21.6642086969805,0
88,8.8000283241272,21.6642086969805,0
89,8.90015745162964,21.6642086969805,0
90,9.00008797645569,21.6642086969805,0
91,9.10003566741943,21.6642086969805,0
92,9.19998025894165,21.6642086969805,0
93,9.30001735687256,21.6642086969805,0
94,9.40012121200562,21.6642086969805,0
95,9.4999315738678,21.6642086969805,0
96,9.59998893737793,21.6642086969805,0
97,9.70028686523438,21.6642086969805,0
98,9.80011963844299,21.6642086969805,0
99,9.90036296844482,21.6642086969805,0
100,9.9999725818634,21.6642086969805,0
101,10.0999839305878,21.6642086969805,0
102,10.2000396251678,21.6642086969805,0
103,10.3002307415009,21.6642086969805,0
104,10.3999741077423,21.6642086969805,0
105,10.5000417232513,21.6642086969805,0
106,10.5999946594238,21.6642086969805,0
107,10.7000958919525,21.6642086969805,0
108,10.7999422550201,21.6642086969805,0
109,10.9000065326691,21.6642086969805,0
110,11.0001962184906,21.6642086969805,0
111,11.1000134944916,21.6642086969805,0
112,11.2001705169678,21.6642086969805,0
113,11.3002068996429,21.6642086969805,0
114,11.4001624584198,21.6642086969805,0
115,11.5002634525299,21.6642086969805,0
116,11.6002542972565,21.6642086969805,0
117,11.7000021934509,21.6642086969805,0
118,11.8001432418823,21.6642086969805,0
119,11.9000539779663,21.6642086969805,0
120,12.0000231266022,21.6642086969805,0
121,12.0999960899353,21.6642086969805,0
122,12.2000896930695,21.6642086969805,0
123,12.2999708652496,21.6642086969805,0
124,12.4000236988068,21.6642086969805,0
125,12.4999413490295,21.6642086969805,0
126,12.6003141403198,21.6642086969805,0
127,12.699990272522,21.6642086969805,0
128,12.8003103733063,21.6642086969805,0
129,12.9000017642975,21.6642086969805,0
130,13.0000531673431,21.6642086969805,0
131,13.1001150608063,21.6642086969805,0
132,13.2001047134399,21.6642086969805,0
133,13.2999963760376,21.6642086969805,0
134,13.4001560211182,21.6642086969805,0
135,13.5001201629639,21.6642086969805,0
136,13.6004514694214,21.6642086969805,0
137,13.70010638237,21.6642086969805,0
138,13.8000025749207,21.6642086969805,0
139,13.8999938964844,21.6642086969805,0
140,14.0000350475311,21.6642086969805,0
141,14.1001048088074,21.6642086969805,0
142,14.2001264095306,21.6642086969805,0
143,14.3002212047577,21.6642086969805,0
