,time,u,v,w,roll,pitch,yaw
0,0,0,0,0,0,0,0
1,0.0996978282928467,0,0,0,0,0,0
2,0.167134046554565,0,0,0,0,0,0
3,0.299217462539673,0,0,0,0,0,0
4,0.36721920967102,0,0,0,0,0,0
5,0.499220132827759,0,0,0,0,0,0
6,0.566919565200806,0,0,0,0,0,0
7,0.698548555374146,0,0,0,0,0,0
8,0.759214401245117,0,0,0,0,0,0
9,0.895421266555786,0,0,0,0,0,0
10,0.966050148010254,0,0,0,0,0,0
11,1.09164452552795,0,0,0,0,0,0
12,1.20065259933472,0,0,0,0,0,0
13,1.29961276054382,0,0,0,0,0,0
14,1.36237931251526,0,0,0,0,0,0
15,1.48861527442932,0,0,0,0,0,0
16,1.60163426399231,0,0,0,0,0,0
17,1.66225934028626,0,0,0,0,0,0
18,1.80037689208984,0,0,0,0,0,0
19,1.87402701377869,3.33218372361443E-06,0,0,0,0,0
20,2.00048589706421,1.70664443430724E-05,0,0,0,0,0
21,2.09093523025513,4.82751420349814E-05,0,0,0,0,0
22,2.20011258125305,0.000104029539215844,0,0,0,0,0
23,2.29914855957031,0.000191399289178662,0,0,0,0,0
24,2.37404727935791,0.000317451893351972,0,0,0,0,0
25,2.49994778633118,0.000489252095576376,0,0,0,0,0
26,2.57025504112244,0.000713861605618149,0,0,0,0,0
27,2.69863080978394,0.000998338218778372,0,0,0,0,0
28,2.76623845100403,0.00134973542299122,0,0,0,0,0
29,2.89904546737671,0.00177510175853968,0,0,0,0,0
30,2.97111439704895,0.00228148070164025,0,0,0,0,0
31,3.09981942176819,0.0028759092092514,0,0,0,0,0
32,3.16701006889343,0.00356541806831956,0,0,0,0,0
33,3.29944109916687,0.00435703061521053,0,0,0,0,0
34,3.37987995147705,0.00525776203721762,0,0,0,0,0
35,3.49992036819458,0.00627462007105351,0,0,0,0,0
36,3.57425570487976,0.00741460267454386,0,0,0,0,0
37,3.70431208610535,0.00868469756096602,0,0,0,0,0
38,3.76276779174805,0.0100918831303716,0,0,0,0,0
39,3.89829683303833,0.0116431266069412,0,0,0,0,0
40,3.96316456794739,0.0133453821763396,0,0,0,0,0
41,4.09997057914734,0.0152055928483605,0,0,0,0,0
42,4.16705679893494,0.0172306876629591,0,0,0,0,0
43,4.29592609405518,0.0194275807589293,0,0,0,0,0
44,4.36603784561157,0.0214506518095732,0,0,0,0,0
45,4.48700165748596,0.0233071278780699,0,0,0,0,0
46,4.59987020492554,0.0250042229890823,0,0,0,0,0
47,4.68216276168823,0.0265491418540478,0,0,0,0,0
48,4.80049824714661,0.0279490780085325,0,0,0,0,0
49,4.89099359512329,0.0292112156748772,0,0,0,0,0
50,5.00064086914063,0.0306100118905306,0,0,0,0,0
51,5.09496903419495,0.0321524329483509,0,0,0,0,0
52,5.19996476173401,0.0338454209268093,0,0,0,0,0
53,5.2943069934845,0.035695917904377,0,0,0,0,0
54,5.39939832687378,0.0377108454704285,0,0,0,0,0
55,5.48883557319641,0.0398971103131771,0,0,0,0,0
56,5.60040712356567,0.0422616079449654,0,0,0,0,0
57,5.68748092651367,0.0448112115263939,0,0,0,0,0
58,5.79990291595459,0.0475527904927731,0,0,0,0,0
59,5.89106225967407,0.0504931844770908,0,0,0,0,0
60,6.00002765655518,0.0536392144858837,0,0,0,0,0
61,6.08284282684326,0.056997686624527,0,0,0,0,0
62,6.19930195808411,0.0605753920972347,0,0,0,0,0
63,6.29578113555908,0.0643790885806084,0,0,0,0,0
64,6.39991497993469,0.0684155225753784,0,0,0,0,0
65,6.49415946006775,0.0726914033293724,0,0,0,0,0
66,6.60263609886169,0.0772134363651276,0,0,0,0,0
67,6.67134428024292,0.0819882825016975,0,0,0,0,0
68,6.80378484725952,0.0870225802063942,0,0,0,0,0
69,6.86309289932251,0.0923229530453682,0,0,0,0,0
70,6.99866986274719,0.0978959873318672,0,0,0,0,0
71,7.07194209098816,0.103748224675655,0,0,0,0,0
72,7.19950437545776,0.109886206686497,0,0,0,0,0
73,7.27138066291809,0.11631640791893,0,0,0,0,0
74,7.40067839622498,0.122848391532898,0,0,0,0,0
75,7.46622824668884,0.129373490810394,0,0,0,0,0
76,7.59022784233093,0.135891646146774,0,0,0,0,0
77,7.69502568244934,0.142402738332748,0,0,0,0,0
78,7.80070638656616,0.148906722664833,0,0,0,0,0
79,7.89938688278198,0.1554034948349,0,0,0,0,0
80,7.9748420715332,0.161892980337143,0,0,0,0,0
81,8.09986233711243,0.168375089764595,0,0,0,0,0
82,8.16380524635315,0.174849763512611,0,0,0,0,0
83,8.30293607711792,0.181316897273064,0,0,0,0,0
84,8.36311483383179,0.187776431441307,0,0,0,0,0
85,8.49404621124268,0.194228276610374,0,0,0,0,0
86,8.55554580688477,0.200672343373299,0,0,0,0,0
87,8.67482733726501,0.207108572125435,0,0,0,0,0
88,8.80008840560913,0.213536873459816,0,0,0,0,0
89,8.87896108627319,0.219957187771797,0,0,0,0,0
90,8.99923539161682,0.22636941075325,0,0,0,0,0
91,9.08307123184204,0.232773467898369,0,0,0,0,0
92,9.19906616210938,0.239169299602509,0,0,0,0,0
93,9.29486536979675,0.245556831359863,0,0,0,0,0
94,9.40806674957275,0.251935958862305,0,0,0,0,0
95,9.40983295440674,0.25830665230751,0,0,0,0,0
96,9.58476138114929,0.264668792486191,0,0,0,0,0
97,9.69495630264282,0.271022319793701,0,0,0,0,0
98,9.80076551437378,0.277367174625397,0,0,0,0,0
99,9.900146484375,0.283703297376633,0,0,0,0,0
