,time,n_p,rudder
0,0.0,0.0,0.0
1,0.09989690780639648,0.0,0.0
2,0.1999211311340332,0.0,0.0
3,0.2998936176300049,0.0,0.0
4,0.4000673294067383,0.0,0.0
5,0.4998033046722412,0.0,0.0
6,0.5998501777648926,0.0,0.0
7,0.6998579502105713,0.0,0.0
8,0.8000414371490479,0.0,0.0
9,0.8999724388122559,0.0,0.0
10,0.9999504089355469,0.0,0.0
11,1.1003847122192383,0.0,0.0
12,1.1998169422149658,0.0,0.0
13,1.2998378276824951,0.0,0.0
14,1.3999395370483398,0.0,0.0
15,1.5003490447998047,0.0,0.0
16,1.5998129844665527,0.0,0.0
17,1.699953556060791,0.48533986508846283,0.0
18,1.7998759746551514,3.4831971377134323,0.0
19,1.9002461433410645,5.8190437108278275,0.0
20,1.9998180866241455,8.17036397755146,0.0
21,2.099945545196533,10.825552180409431,0.0
22,2.1998488903045654,12.637273833155632,0.0
23,2.299940586090088,15.73279033601284,0.0
24,2.4000747203826904,18.659288093447685,0.0
25,2.4998154640197754,21.41758070886135,0.0
26,2.5999391078948975,23.54482601583004,0.0
27,2.6998589038848877,25.62324170768261,0.0
28,2.800363779067993,28.001723423600197,0.0
29,2.8999993801116943,30.53756819665432,0.0
30,3.0001487731933594,33.43235318362713,0.0
31,3.0999536514282227,35.6363710463047,0.0
32,3.1999518871307373,37.18463687598705,0.0
33,3.299952507019043,35.7705762013793,0.0
34,3.3999290466308594,35.7705762013793,0.0
35,3.499882936477661,35.7705762013793,0.0
36,3.600090265274048,35.7705762013793,0.0
37,3.7001492977142334,33.962173007428646,0.0
38,3.799912452697754,29.413923242420424,0.0
39,3.900270462036133,24.17334342218237,0.0
40,4.000134706497192,18.987038360210136,0.0
41,4.09981107711792,14.725555767538026,0.0
42,4.199865102767944,9.572590572061017,0.0
43,4.3000569343566895,8.399020553799346,0.0
44,4.399947166442871,8.399020553799346,0.0
45,4.499851703643799,8.399020553799346,0.0
46,4.599769353866577,8.399020553799346,0.0
47,4.69985294342041,8.632294387789443,0.0
48,4.799985647201538,14.372624413343146,0.0
49,4.900057077407837,20.328660087485332,0.0
50,4.999860048294067,21.664208696980495,0.0
51,5.099905729293823,21.664208696980495,0.0
52,5.199900150299072,21.664208696980495,0.0
53,5.300023078918457,21.664208696980495,0.0
54,5.399862289428711,21.664208696980495,0.0
55,5.499878644943237,21.664208696980495,0.0
56,5.59991979598999,21.664208696980495,0.0
57,5.699989080429077,21.664208696980495,0.0
58,5.799973011016846,21.664208696980495,0.0
59,5.899948835372925,21.664208696980495,0.0
60,5.999819993972778,21.664208696980495,0.0
61,6.1004180908203125,21.664208696980495,0.0
62,6.199948310852051,21.664208696980495,0.0
63,6.300065040588379,21.664208696980495,0.0
64,6.399808883666992,21.664208696980495,0.0
65,6.499844074249268,21.664208696980495,0.0
66,6.600196361541748,21.664208696980495,0.0
67,6.699950218200684,21.664208696980495,0.0
68,6.800103187561035,21.664208696980495,0.0
69,6.899890661239624,21.664208696980495,0.0
70,6.9998743534088135,21.664208696980495,0.0
71,7.100037097930908,21.664208696980495,0.0
72,7.199882984161377,21.664208696980495,0.0
73,7.3002848625183105,21.664208696980495,0.0
74,7.3999879360198975,21.664208696980495,0.0
75,7.49992561340332,21.664208696980495,0.0
76,7.599913835525513,21.664208696980495,0.0
77,7.699907302856445,21.664208696980495,0.0
78,7.79987096786499,21.664208696980495,0.0
